list,sentence_n,sentence,grammar,first_word,keyword_n,keyword_1,keyword_2,keyword_3,keyword_4,filename,audio_dur
1,1,The clown had a funny face,svoc,determiner,3,clown,funny,face,,bkbf0101,1789.024943
1,2,The car engine's running,sv,determiner,3,car,engines,running,,bkbf0102,1627.981859
1,3,She cut with her knife,svoc,pronoun,3,She,cut,knife,,bkbf0103,1377.959184
1,4,Children like strawberries,svoc,noun,3,Children,like,strawberries,,bkbf0104,1632.154195
1,5,The house had nine rooms,svoc,determiner,3,house,nine,rooms,,bkbf0105,1672.698413
1,6,They’re buying some bread,svoc,pronoun,3,Theyre,buying,bread,,bkbf0106,1380.997732
1,7,The green tomatoes are small,sv,determiner,3,green,tomatoes,small,,bkbf0107,1861.451247
1,8,He played with his train,svoc,pronoun,3,He,played,train,,bkbf0108,1392.60771
1,9,The postman shut the gate,svoc,determiner,3,postman,shut,gate,,bkbf0109,1534.240363
1,10,They’re looking at the clock,svoc,pronoun,4,Theyre,looking,at,clock,bkbf0110,1325.759637
1,11,The bag bumps on the ground,svoc,determiner,3,bag,bumps,ground,,bkbf0111,1765.804989
1,12,The boy did a handstand,svoc,determiner,3,boy,did,handstand,,bkbf0112,1600.136054
1,13,A cat sits on the bed,svoc,determiner,4,cat,sits,on,bed,bkbf0113,1459.229025
1,14,The lorry carried fruit,svoc,determiner,3,lorry,carried,fruit,,bkbf0114,1565.85034
1,15,The rain came down,svoc,determiner,3,rain,came,down,,bkbf0115,1370.15873
1,16,The ice cream was pink,sv,determiner,3,ice,cream,pink,,bkbf0116,1391.791383
2,1,The ladder's near the door,svoc,determiner,3,ladders,near,door,,bkbf0201,1294.648526
2,2,They had a lovely day,svoc,pronoun,3,They,lovely,day,,bkbf0202,1295.238095
2,3,The ball went into the goal,svoc,determiner,4,ball,went,into,goal,bkbf0203,1557.913832
2,4,The old gloves are dirty,sv,determiner,3,old,gloves,dirty,,bkbf0204,1515.782313
2,5,He cut his finger,svoc,pronoun,3,He,cut,finger,,bkbf0205,1104.353741
2,6,The thin dog was hungry,sv,determiner,3,thin,dog,hungry,,bkbf0206,1518.321995
2,7,The boy knew the game,svoc,determiner,3,boy,knew,game,,bkbf0207,1342.675737
2,8,Snow falls at Christmas,svoc,noun,3,Snow,falls,Christmas,,bkbf0208,1821.85941
2,9,She’s taking her coat,svoc,pronoun,3,Shes,taking,coat,,bkbf0209,1482.76644
2,10,The police chased the car,svoc,determiner,3,police,chased,car,,bkbf0210,1558.185941
2,11,A mouse ran down the hole,svoc,determiner,4,mouse,ran,down,hole,bkbf0211,1556.9161
2,12,The lady’s making a toy,svoc,determiner,3,ladys,making,toy,,bkbf0212,1431.519274
2,13,Some sticks were under the tree,svoc,determiner,3,sticks,under,tree,,bkbf0213,1739.319728
2,14,The little baby sleeps,sv,determiner,3,little,baby,sleeps,,bkbf0214,1584.897959
2,15,They’re watching the train,svoc,pronoun,3,Theyre,watching,train,,bkbf0215,1346.031746
2,16,The school finished early,sva,determiner,3,school,finished,early,,bkbf0216,1471.020408
3,1,The glass bowl broke,sv,determiner,3,glass,bowl,broke,,bkbf0301,1471.927438
3,2,The dog played with a stick,svoc,determiner,3,dog,played,stick,,bkbf0302,1500.272109
3,3,The kettle's quite hot,sv,determiner,3,kettles,quite,hot,,bkbf0303,1389.160998
3,4,The farmer keeps a bull,svoc,determiner,3,farmer,keeps,bull,,bkbf0304,1402.267574
3,5,They say some silly things,svoc,pronoun,4,They,say,silly,things,bkbf0305,1790.975057
3,6,The lady wore a coat,svoc,determiner,3,lady,wore,coat,,bkbf0306,1375.37415
3,7,The children are walking home,svoc,determiner,3,children,walking,home,,bkbf0307,1601.85941
3,8,He needed his holiday,svoc,pronoun,3,He,needed,holiday,,bkbf0308,1383.174603
3,9,The milk came in a bottle,svoc,determiner,3,milk,came,bottle,,bkbf0309,1368.979592
3,10,The man cleaned his shoes,svoc,determiner,3,man,cleaned,shoes,,bkbf0310,1488.526077
3,11,They ate the lemon jelly,svoc,pronoun,4,They,ate,lemon,jelly,bkbf0311,1361.405896
3,12,The boys running away,sva,determiner,3,boys,running,away,,bkbf0312,1317.097506
3,13,Father looked at the book,svoc,noun,3,Father,looked,book,,bkbf0313,1467.845805
3,14,She drinks from her cup,svoc,pronoun,3,She,drinks,cup,,bkbf0314,1429.433107
3,15,The room's getting cold,svoc,determiner,3,rooms,getting,cold,,bkbf0315,1521.133787
3,16,A girl kicked the table,svoc,determiner,3,girl,kicked,table,,bkbf0316,1483.038549
4,1,The wife helped her husband,svoc,determiner,3,wife,helped,husband,,bkbf0401,1734.920635
4,2,The machine was quite noisy,sv,determiner,3,machine,quite,noisy,,bkbf0402,1669.478458
4,3,The old man worries,sv,determiner,3,old,man,worries,,bkbf0403,1536.734694
4,4,A boy ran down the path,svoc,determiner,3,boy,ran,path,,bkbf0404,1725.442177
4,5,The house had a nice garden,svoc,determiner,3,house,nice,garden,,bkbf0405,1627.709751
4,6,She spoke to her son,svoc,pronoun,4,She,spoke,to,son,bkbf0406,1371.609977
4,7,They’re crossing the street,svoc,pronoun,3,Theyre,crossing,street,,bkbf0407,1385.351474
4,8,Lemons grow on trees,svoc,determiner,3,Lemons,grow,trees,,bkbf0408,1752.199546
4,9,He found his brother,svoc,pronoun,3,He,found,brother,,bkbf0409,1265.442177
4,10,Some animals sleep on straw,svoc,determiner,4,animals,sleep,on,straw,bkbf0410,1771.655329
4,11,The jam jar was full,sv,determiner,3,jam,jar,full,,bkbf0411,1289.705215
4,12,They’re kneeling down,sva,pronoun,3,Theyre,kneeling,down,,bkbf0412,1220
4,13,The girl lost her doll,svoc,determiner,3,girl,lost,doll,,bkbf0413,1570.204082
4,14,The cooks making a cake,svoc,determiner,3,cooks,making,cake,,bkbf0414,1535.102041
4,15,The child grabs the toy,svoc,determiner,3,child,grabs,toy,,bkbf0415,1641.768707
4,16,The mud stuck on his shoe,svoc,determiner,3,mud,stuck,shoe,,bkbf0416,1575.918367
5,1,The bath towel was wet,sv,determiner,3,bath,towel,wet,,bkbf0501,1592.471655
5,2,The matches lie on the shelf,svoc,determiner,3,matches,lie,shelf,,bkbf0502,1678.321995
5,3,They’re running past the house,svoc,pronoun,4,Theyre,running,past,house,bkbf0503,1700.997732
5,4,The train had a bad crash,svoc,determiner,3,train,bad,crash,,bkbf0504,1688.798186
5,5,The kitchen sink's empty,sv,determiner,3,kitchen,sink,empty,,bkbf0505,1638.004535
5,6,A boy fell from the window,svoc,determiner,3,boy,fell,window,,bkbf0506,1674.557823
5,7,She used her spoon,svoc,pronoun,3,She,used,spoon,,bkbf0507,1407.573696
5,8,The park’s near the road,svoc,determiner,3,parks,near,road,,bkbf0508,1429.206349
5,9,The cook cut some onions,svoc,determiner,3,cook,cut,onions,,bkbf0509,1582.857143
5,10,The dog made an angry noise,svoc,determiner,4,dog,made,angry,noise,bkbf0510,1871.746032
5,11,He’s washing his face,svoc,pronoun,3,Hes,washing,face,,bkbf0511,1307.210884
5,12,Somebody took the money,svoc,pronoun,3,Somebody,took,money,,bkbf0512,1367.664399
5,13,The light went out,sva,determiner,3,light,went,out,,bkbf0513,1097.188209
5,14,They wanted some potatoes,svoc,pronoun,3,They,wanted,potatoes,,bkbf0514,1682.267574
5,15,The naughty girl’s shouting,sv,determiner,3,naughty,girls,shouting,,bkbf0515,1615.238095
5,16,The cold milk's in a jug,svoc,determiner,3,cold,milks,jug,,bkbf0516,1508.93424
6,1,The paint dripped on the ground,svoc,determiner,3,paint,dripped,ground,,bkbf0601,1656.870748
